dataset,fold,phase,fe,count
pittsburg-bridges-MATERIAL,0,mid,random_proj,19
pittsburg-bridges-MATERIAL,0,mid,ht_svd,0
pittsburg-bridges-MATERIAL,0,mid,robust,0
pittsburg-bridges-MATERIAL,0,mid,minmax,0
pittsburg-bridges-MATERIAL,0,late,identity,27
pittsburg-bridges-MATERIAL,0,late,autofeat,0
pittsburg-bridges-MATERIAL,0,late,random_proj,0
pittsburg-bridges-MATERIAL,0,late,ht_svd,6
pittsburg-bridges-MATERIAL,0,late,robust,0
pittsburg-bridges-MATERIAL,0,late,minmax,0
pittsburg-bridges-MATERIAL,1,early,identity,8
pittsburg-bridges-MATERIAL,1,early,autofeat,12
pittsburg-bridges-MATERIAL,1,early,random_proj,7
pittsburg-bridges-MATERIAL,1,early,ht_svd,7
pittsburg-bridges-MATERIAL,1,early,robust,0
pittsburg-bridges-MATERIAL,1,early,minmax,0
pittsburg-bridges-MATERIAL,1,mid,identity,6
pittsburg-bridges-MATERIAL,1,mid,autofeat,3
pittsburg-bridges-MATERIAL,1,mid,random_proj,20
pittsburg-bridges-MATERIAL,1,mid,ht_svd,4
pittsburg-bridges-MATERIAL,1,mid,robust,0
pittsburg-bridges-MATERIAL,1,mid,minmax,0
pittsburg-bridges-MATERIAL,1,late,identity,2
pittsburg-bridges-MATERIAL,1,late,autofeat,4
pittsburg-bridges-MATERIAL,1,late,random_proj,22
pittsburg-bridges-MATERIAL,1,late,ht_svd,5
pittsburg-bridges-MATERIAL,1,late,robust,0
pittsburg-bridges-MATERIAL,1,late,minmax,0
pittsburg-bridges-MATERIAL,2,early,identity,14
pittsburg-bridges-MATERIAL,2,early,autofeat,13
pittsburg-bridges-MATERIAL,2,early,random_proj,7
pittsburg-bridges-MATERIAL,2,early,ht_svd,0
pittsburg-bridges-MATERIAL,2,early,robust,0
pittsburg-bridges-MATERIAL,2,early,minmax,0
pittsburg-bridges-MATERIAL,2,mid,identity,17
pittsburg-bridges-MATERIAL,2,mid,autofeat,16
pittsburg-bridges-MATERIAL,2,mid,random_proj,0
pittsburg-bridges-MATERIAL,2,mid,ht_svd,0
pittsburg-bridges-MATERIAL,2,mid,robust,0
pittsburg-bridges-MATERIAL,2,mid,minmax,0
pittsburg-bridges-MATERIAL,2,late,identity,25
pittsburg-bridges-MATERIAL,2,late,autofeat,8
pittsburg-bridges-MATERIAL,2,late,random_proj,0
pittsburg-bridges-MATERIAL,2,late,ht_svd,0
pittsburg-bridges-MATERIAL,2,late,robust,0
pittsburg-bridges-MATERIAL,2,late,minmax,0
pittsburg-bridges-MATERIAL,3,early,identity,19
pittsburg-bridges-MATERIAL,3,early,autofeat,0
pittsburg-bridges-MATERIAL,3,early,random_proj,9
pittsburg-bridges-MATERIAL,3,early,ht_svd,6
pittsburg-bridges-MATERIAL,3,early,robust,0
pittsburg-bridges-MATERIAL,3,early,minmax,0
pittsburg-bridges-MATERIAL,3,mid,identity,27
pittsburg-bridges-MATERIAL,3,mid,autofeat,0
pittsburg-bridges-MATERIAL,3,mid,random_proj,1
pittsburg-bridges-MATERIAL,3,mid,ht_svd,5
pittsburg-bridges-MATERIAL,3,mid,robust,0
pittsburg-bridges-MATERIAL,3,mid,minmax,0
pittsburg-bridges-MATERIAL,3,late,identity,24
pittsburg-bridges-MATERIAL,3,late,autofeat,0
pittsburg-bridges-MATERIAL,3,late,random_proj,3
pittsburg-bridges-MATERIAL,3,late,ht_svd,6
pittsburg-bridges-MATERIAL,3,late,robust,0
pittsburg-bridges-MATERIAL,3,late,minmax,0
pittsburg-bridges-TYPE,0,early,identity,6
pittsburg-bridges-TYPE,0,early,autofeat,14
pittsburg-bridges-TYPE,0,early,random_proj,7
pittsburg-bridges-TYPE,0,early,ht_svd,7
pittsburg-bridges-TYPE,0,early,robust,0
pittsburg-bridges-TYPE,0,early,minmax,0
pittsburg-bridges-TYPE,0,mid,identity,12
pittsburg-bridges-TYPE,0,mid,autofeat,5
pittsburg-bridges-TYPE,0,mid,random_proj,9
pittsburg-bridges-TYPE,0,mid,ht_svd,7
pittsburg-bridges-TYPE,0,mid,robust,0
pittsburg-bridges-TYPE,0,mid,minmax,0
pittsburg-bridges-TYPE,0,late,identity,9
pittsburg-bridges-TYPE,0,late,autofeat,3
pittsburg-bridges-TYPE,0,late,random_proj,11
pittsburg-bridges-TYPE,0,late,ht_svd,10
pittsburg-bridges-TYPE,0,late,robust,0
pittsburg-bridges-TYPE,0,late,minmax,0
pittsburg-bridges-TYPE,1,early,identity,7
pittsburg-bridges-TYPE,1,early,autofeat,10
pittsburg-bridges-TYPE,1,early,random_proj,11
pittsburg-bridges-TYPE,1,early,ht_svd,6
pittsburg-bridges-TYPE,1,early,robust,0
